"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Mon Oct 11 14:52:46 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","13289","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Сравнение фильтра времени у конкретного спорта в горизонтальном и вертикальном ","Сравнение фильтра времени у конкретного спорта в горизонтальном и вертикальном ",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","18","","Проверка настроек сайта","","Проверка настроек сайта","Проверка быстрого пари","Проверка быстрого пари",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","13","","Тесты на главной странице","","Тесты на главной странице","Ставки из приоритетных событий линии/лайва с главной страницы","Ставки из приоритетных событий линии/лайва с главной страницы",""
"failed","Mon Oct 11 14:49:29 MSK 2021","Mon Oct 11 14:49:49 MSK 2021","20443","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Webmoney","Проверка открытия страницы пополнения через Webmoney",""
"failed","Mon Oct 11 14:49:08 MSK 2021","Mon Oct 11 14:49:29 MSK 2021","20804","","Проверка пополения и выплаты","","Проверка пополения и выплаты","Проверка открытия страницы пополнения через Qiwi","Проверка открытия страницы пополнения через Qiwi",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","10","","Тесты на вкладку Бонусы","","Тесты на вкладку Бонусы","Проверка ввода промокода Бонусы","Проверка ввода промокода Бонусы",""
"passed","Mon Oct 11 14:43:24 MSK 2021","Mon Oct 11 14:43:34 MSK 2021","10056","","Проверка всего в ленте купонов","","Проверка всего в ленте купонов","Проверка на продажу","Проверка на продажу",""
"passed","Mon Oct 11 14:52:37 MSK 2021","Mon Oct 11 14:52:46 MSK 2021","8862","","Тесты фильтра меню избранное","","Тесты фильтра меню избранное","Проверка фильтра времени в меню событий","Проверка фильтра времени в меню событий",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","18","","Проверка Восстановления пароля","","Проверка Восстановления пароля","Восстановление пароля по тестовому сценарию через email","Восстановление пароля по тестовому сценарию через email",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","14","","Тесты на запросы из личного кабинета","","Тесты на запросы из личного кабинета","Проверка запроса по 3*input + textarea + data","Проверка запроса по 3*input + textarea + data",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","12","","Проверка работы всего функицонала во вкладке ""Результат""","","Проверка работы всего функицонала во вкладке ""Результат""","Проверка чекбокса Только текущие","Проверка чекбокса Только текущие",""
"skipped","Mon Oct 11 14:52:59 MSK 2021","Mon Oct 11 14:52:59 MSK 2021","24","","Тесты на функциии из области шапки сайта","","Тесты на функциии из области шапки сайта","Проверка открытия всех вкладок","Проверка открытия всех вкладок",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","15","","Проверка ""Суперэкспресс""","","Проверка ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""","Проверка всего функционала во вкладке ""Суперэкспресс""",""
"skipped","Mon Oct 11 14:53:00 MSK 2021","Mon Oct 11 14:53:00 MSK 2021","15","","Проверка настроек сайта","","Проверка настроек сайта","Проверка всего функционала из модуля ""Вид"" в настройках сайта для  неавторизованного пользователя","Проверка всего функционала из модуля ""Вид"" в настройках сайта для  неавторизованного пользователя",""
